Permission Number,Name,Activity Type Description,Document URL,Site Address,Site Postcode,Site Grid Reference,Local Authority,Permission Date
EPR/DP3431XD,I S J FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Cherry Tree Farm, Cherry Tree Farm EPR/DP3431XD, Cherry Tree Lane, Dalbury Lees, Derbyshire, DE6 5BE",DE6 5BE,SK2660037900,South Derbyshire,2009-09-17
EPR/MP3830KJ,OAKLANDS FARM EGGS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Burbage, Southgrove Farm - EPR/MP3830KJ, Marlborough, Wiltshire, SN8 3RX",SN8 3RX,SU2270058100,Wiltshire,2009-06-30
EPR/NP3039GY,OAKLANDS FARM EGGS LIMITED,"Waste Incineration; Non Hazardous Waste Not In An Incineration Or Co Incineration Plant And > 50Kg/Hr <1T/Hr -  5.1 B A)|Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Perry Farm, Perry Farm Poultry Unit - EPR/NP3039GY, Whittington, Shropshire, SY11 4PF",SY11 4PF,SJ3474030310,Shropshire,2009-01-09
EPR/TP3037MU,OAKLANDS FARM EGGS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Oaklands, The Oaklands EPR/TP3037MU, Edstaston, Wem, Shropshire, SY4 5RF",SY4 5RF,SJ5107033260,Shropshire,2008-04-11
EPR/XP3539XH,M. E. FURNISS & SONS (FARMS),"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/tf10-8bn-me-furniss-sons-farms-environmental-permit-issued-eprxp3539xhv003,"New House Farm, New House Farm, Chester Road, Chetwynd, Shropshire, TF10 8BN",TF10 8BN,SJ7282021420,Telford and Wrekin,2008-03-31
EPR/LP3539UR,HARVEY FARMS (WINTERBOURNE) LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/sp4-6hq-harvey-farms-winterbourne-limited-eprlp3539urv007-environmental-permit-issued,"Manor Farm, Harveys farms ( Winterbourne) Ltd, Manor Farm EPR/LP3539UR, Winterbourne Earls, Salisbury, Wiltshire, SP4 6HQ",SP4 6HQ,SU1788033910,Wiltshire,2008-03-31
EPR/XP3431MU,RATTLEROW FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Mundford Farm, Mundford Farm Pig Unit - EPR/XP3431MU, Cranwich Road, Mundford, Thetford, IP26 5JJ",IP26 5JJ,TL7880094000,Breckland,2008-03-27
EPR/HP3137MR,SEWELL HEWITT FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Hill Farm, Hill Farm Pig Unit - EPR/HP3137MR, Chillesford, Suffolk, IP12 3PY",IP12 3PY,TM3959052300,East Suffolk,2008-02-08
EPR/RP3237MG,SUNRISE POULTRY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"250, Seagrave Road Poultry Farm - EPR/RP3237MG, Seagrave Road, Sileby, Sileby, Leicestershire, LE12 7NJ",LE12 7NJ,SK6130016660,Charnwood,2008-02-07
EPR/AP3233UN,PACE'S FARM EGGS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Upper Medhurst Green Farm, Upper Medhurst Green Farm - EPR/AP3233UN, Congleton, Cheshire, CW12 4TA",CW12 4TA,SJ8184062720,Cheshire East,2008-01-31
EPR/TP3836MR,COBREY FARMS,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Cobrey Farms, Cobrey Farm - EPR/TP3836MR, Coughton, Herefordshire, HR9 5SG",HR9 5SG,SO6150021840,"Herefordshire, County of",2008-01-31
EPR/GP3131MX,RATTLEROW FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"East Winch Farm, East Winch Pig Unit - EPR/GP3131MX, Ashwicken Road, East Winch, Norfolk, PE32 1LJ",PE32 1LJ,TF6900017300,King's Lynn and West Norfolk,2008-01-04
EPR/NP3737MZ,LLYNCLYS FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Llynclys Farm, Llynclys Farm Poultry Unit - EPR/NP3737MZ, Llynclys, Shropshire, SY10 8BH",SY10 8BH,SJ2800024200,Shropshire,2007-12-06
EPR/UP3533UV,CROCKWAY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ca4-0pz-birchwood-farms-limited-environmental-permit-issued-eprup3533uvv005,"Monkcastle Farm, Monkcastle Pig Farm EPR/UP3533UV, Monkcastle, Southwaite, Cumbria, CA4 0PZ",CA4 0PZ,NY4275046250,,2007-10-31
EPR/TP3236MG,WETMORE FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/sy7-9bh-environmental-permit-issued.,"Wetmore Farm, Wetmore Poultry Farm - EPR/TP3236MG/V006, Wetmore, Onibury, Shropshire, SY7 9BH",SY7 9BH,SO4446077100,Shropshire,2007-10-30
EPR/AP3936MS,COURT HOUSE FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Stilton House, Stilton House Piggery - EPR/AP3936MS, Stokesley Road, Helmsley, North Yorkshire, YO62 5LP",YO62 5LP,SE5984086590,North Yorkshire,2007-10-30
EPR/DP3432UR,Forge Farm Poultry Ltd,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/sy4-4ud-mr-guy-home-trading-as-james-home-and-partners-environmental-permit-issued,"Forge Farm, Forge Farm Poultry Unit EPR/DP3432UR, Upton Magna, Shrewsbury, Shropshire, SY4 4UD",SY4 4UD,SJ5596011350,Shropshire,2007-10-30
EPR/CP3934UK,Mrs Y Thomas (Trading as Rhydimoor Farms),"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Bainstree Poultry Farm, Bainstree Poultry Farm - EPR/CP3934UK, Monkland, Leominster, Herefordshire, HR6 9DF",HR6 9DF,SO4412057140,"Herefordshire, County of",2007-10-26
EPR/FP3930UL,OAKLAND FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Park View Poultry Unit, Park View Poultry Unit - EPR/FP3930UL, Forcett, Richmond, North Yorkshire, DL11 7SQ",DL11 7SQ,NZ1692011200,North Yorkshire,2007-10-26
EPR/PP3536MT,STEART FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Collards Farm, Ferricies Farm & Brufords Farm (Same address details), Brufords/Ferricies/Collards Farms EPR/PP3536MT, Steart, Bridgwater, Steart, Somerset, TA5 2PX",TA5 2PX,ST2715045900,Somerset,2007-10-26
EPR/CP3534UP,Mrs Y Thomas (Trading as Rhydimoor Farms),"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Rhydimoor Farm, Rhydimoor Farm EPR/CP3534UP, Monkland, Herefordshire, HR6 9DH",HR6 9DH,SO4291058130,"Herefordshire, County of",2007-10-26
EPR/FP3030UT,OAKLAND FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/yo26-8la-oakland-farms-limited-environmental-permit-issued,"Oakland Farms Limited, Poultry Units at Oakland, Scagglethorpe, Brecks, Killingbeck and Redhouse Farm EPR/FP3030UT, Moor Monkton, North Yorkshire, YO26 8JQ",YO26 8JQ,SE5184056080,North Yorkshire,2007-10-26
EPR/AP3239US,ALLENFORD FARMS,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"South Allenford Farm, Allenford Farms Pig Unit - EPR/AP3239US, Damerham, Fordingbridge, Hampshire, SP6 3JW",SP6 3JW,SU0899017510,New Forest,2007-10-25
EPR/TP3133UG,ANNAKIN FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ln8-5jl-environmental-permit-issued.,"Top Farm, Top Farm Poultry Unit EPR/TP3133UG, Stainfield, Lincolnshire, LN8 5JL",LN8 5JL,TF1021071780,West Lindsey,2007-10-22
EPR/YP3731MC,PEARSON POULTRY AND FARMING LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ca7-4pd-environmental-permit-issued.,"Blackdyke Poultry Farm, Blackdyke Industrial Estate Poultry Farm - EPR/YP3731MC, Blackdyke Industrial Estate, Blackdyke, Blackdyke, Cumbria, CA7 7PD",CA7 7PD,NY1340052500,,2007-10-19
EPR/FP3937MT,FARMPOINT LIMITED,"Waste Incineration; Non Hazardous Waste Not In An Incineration Or Co Incineration Plant And > 50Kg/Hr <1T/Hr -  5.1 B A)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"The Woodlands, Comberton Poultry Farm EPR/FP3937MT, Park Lane, Woofferton, Shropshire, SY8 4AJ",SY8 4AJ,SO5128069320,Shropshire,2007-10-19
EPR/NP3937MW,KNOCKIN EGG FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Knockin, Knockin Egg Poultry Unit - EPR/NP3937MW, Knockin, Oswestry, Shropshire, SY10 8HQ",SY10 8HQ,SJ3400022000,Shropshire,2007-10-18
EPR/VP3834UB,ALEXANDER & ANGELL (FARMS) LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)|ASSOCIATED PROCESS|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/gl3-4ud-and-gl3-4tu-alexander-angell-farms-limited-environmental-permit-issued-eprvp3834ubv006,"Middle Pig Farm, Bentham, Court & Middle Pig Farms EPR/VP3834UB, Court Farm, Witcombe, Little Witcombe, Gloucestershire, GL3 4TU",GL3 4TU,SO9077016190,Tewkesbury,2007-10-18
EPR/TP3639UU,ELVIDGE FARMS LIMITED,"Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Flat House Farm, Flat House Farm Pig Unit, Flat House Farm Pig Unit - EPR/TP3639UU, Peatling Road, Gilmorton, Lutterworth, Leicestershire, LE17 5NR",LE17 5NR,SP5776089250,Harborough,2007-10-16
EPR/EP3037MN,LLYNCLYS FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Heatherstone Farm, Heatherstone Farm Poultry Unit - EPR/EP3037MN, Mill Lane, Higher Heath, Shropshire, SY13 2HR",SY13 2HR,SJ5669035690,Shropshire,2007-10-15
EPR/GP3836MX,THE WHITTERN FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"The Whittern, Cottam Power Station, Lyonshall, Herefordshire, HR5 3JA",HR5 3JA,SO3387057480,"Herefordshire, County of",2007-10-12
EPR/CP3730UD,J.C LISTER FARMS LIMITED,"Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Ellenthorpe Lodge, Ellenthorpe Lodge EPR/CP3730UD, Ellenthorpe, Boroughbridge, North Yorkshire, YO51 9HJ",YO51 9HJ,SE4216067120,North Yorkshire,2007-10-12
EPR/KP3434UX,SUTHERLAND FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Sutherland Farm, Sutherland Farm Poultry Unit - EPR/KP3434UX, Oxcroft Lane, Bolsover, Derbyshire, S44 6DW",S44 6DW,SK4783071600,Bolsover,2007-10-11
EPR/PP3136MB,Kingsland Farm Partnership Limited,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Haydon House Farm, Henlade & Holway Poultry Farms EPR/PP3136MB, Haydon, Somerset, TA3 5AB",TA3 5AB,ST2574023620,Somerset,2007-10-10
EPR/QP3831MX,BRIDGE HOUSE FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Bridge House Farm, Bridge House Pig Farm - EPR/QP3831MX, Murcott, Long Buckby, Northamptonshire, NN6 7QR",NN6 7QR,SP6180067800,West Northamptonshire,2007-10-04
EPR/FP3333UY,S KELLY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Kennyhill Farm Poultry Unit, Kennyhill Farm Poultry Unit - EPR/FP3333UY, Kenny Hill, Bury St Edmunds, Suffolk, IP28 8DU",IP28 8DU,TL6674079270,West Suffolk,2007-10-02
EPR/KP3834UN,SUTHERLAND FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ws14-0el-sutherland-farms-limited-environmental-permit-issued,"Fairfields Farm, Fairfields Farm EPR/KP3834UN, Raikes Lane, Shenstone, Lichfield, Staffordshire, WS14 OEL",WS14 OEL,SK0913005170,Lichfield,2007-09-28
EPR/CP3337MA,LINTZ HALL FARM LIMITED.,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Lintz Hall Farm, Lintz Hall Layer Unit - EPR/CP3337MA, Lintz Lane, Burnopfield, County Durham, NE16 6AS",NE16 6AS,NZ1560055930,County Durham,2007-09-28
EPR/PP3239UW,KINGS FARMERS,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ng23-5as-environmental-permit-issued.,"Fen Farm, Fen Farm Pig Unit - EPR/PP3239UW, Osterfen Lane, Claypole, Nottinghamshire, NG23 5AS",NG23 5AS,SK8684050980,South Kesteven,2007-09-26
EPR/VP3935UU,BRECKS FARM LIMITED,"Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ls26-8by-brecks-farm-limited-environmental-permit-issued,"Brecks Farm, Brecks Farm Pig Unit - EPR/VP3935UU, Brecks Lane, Swillington, West Yorkshire, LS26 8BY",LS26 8BY,SE3951031480,Leeds,2007-09-25
EPR/ZP3434UY,S KELLY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Baggaretts Farm, Baggaretts Poultry Farm - EPR/ZP3434UY, White Colne, Essex, CO6 2QH",CO6 2QH,TL8710032200,Braintree,2007-09-25
EPR/YP3131MP,LLYNCLYS FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Crackley Bank Farm, Crackley Bank Farm Poultry Unit - EPR/YP3131MP, Sherrifhales, Shifnal, Telford, Shropshire, TF11 8QU",TF11 8QU,SJ7585011160,Shropshire,2007-09-24
EPR/KP3133UJ,CHAPEL ASCOTE FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://whitehall-admin.publishing.service.gov.uk/government/admin/publications/744589,"Chapel Ascote Farm, Chapel Ascote Farm EPR/KP3133UJ, Ladbroke, Warwickshire, CV47 2DB",CV47 2DB,SP4165057150,Stratford-on-Avon,2007-09-21
EPR/ZP3234UW,S KELLY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Upp Hall Farm, Upp Hall Farm EPR/ZP3234UW, Salmons Lane, Coggeshall, COLCHESTER, CO6 1RY",CO6 1RY,TL8853023740,Colchester,2007-09-21
EPR/RP3636MZ,CHERRY DENE FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Cherry Dene Farm, Cherry Dene Farm Poultry Unit - EPR/RP3636MZ, Hellington Corner, Bergh Apton, Norfolk, NR15 1BE",NR15 1BE,TG3099002160,South Norfolk,2007-09-21
EPR/QP3331MD,ST. LAWRENCE HALL FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/nr34-8nh-st-lawrence-hall-farms-limited-environmental-permit-issued,"Ilketshall Hall Farm Poultry Unit, Ilketshall Hall Farm Poultry Unit - EPR/QP3331MD, Ilketshall St. Lawrence, Beccles, Suffolk, NR34 8NH",NR34 8NH,TM3749085790,East Suffolk,2007-09-21
EPR/CP3031MP,BELMONT FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Stygate Farm Pig Unit, Stygate Farm Pig Unit - EPR/CP3031MP, Stygate Lane, Pickwell, LE14 2QN",LE14 2QN,SK7960012200,Melton,2007-09-18
EPR/LP3137MQ,LLYNCLYS FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Stoke Heath Farm, Stoke Heath Farm Poultry Unit, Stoke Heath Farm Poultry Unit - EPR/LP3137MQ, Sandy Lane, Stoke Heath, Markt Drayton, Shropshire, TF9 2LG",TF9 2LG,SJ6525028980,Shropshire,2007-09-12
EPR/QP3039UN,OVINGTON PARK FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Chilbridge Farm Pig Unit, Chilbridge Farm Pig Unit and Chilbridge Farm - EPR/QP3039UN, Chilbridge, Dorset, BH21 4DY",BH21 4DY,ST9828002690,Dorset,2007-09-11
EPR/DP3637MB,PARK FARM SYNDICATE (FAIRFORD) LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Leafield Farm, Leafield Poultry Farm - EPR/DP3637MB, Quenington, Gloucestershire, GL7 5DG",GL7 5DG,SP1545003870,Cotswold,2007-09-07
EPR/TP3936MY,P T BAKER (FARMS) LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/hr3-6nt-environmental-permit-issued,"Eardisley Park, Eardisley Park Poultry Farm - EPR/TP3936MY, Eardisley, Herefordshire, HR3 6NT",HR3 6NT,SO2991048510,"Herefordshire, County of",2007-09-07
EPR/WP3034UH,OAKRIDGE FARM LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/wv16-6tw-oakridge-farm-limited-environmental-permit-issued,"Oakridge Farm, Oakridge Poultry Unit - EPR/WP3034UH, Ditton Priors, Shropshire, WV16 6TW",WV16 6TW,SO5997092970,Shropshire,2007-08-31
EPR/QP3030UD,LITTLE HAMAR FARM COMPANY,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Little Hamar Farm, Little Hamar Farm - EPR/QP3030UD, Carr Lane, Nafferton, East Yorkshire, YO25 8HB",YO25 8HB,TA0664058050,East Riding of Yorkshire,2007-08-30
EPR/DP3730UY,T SOANES & SON FARMING,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Wold Dyke Farm Poultry Unit, Wold Dyke Farm Poultry Unit EPR/DP3730UY, Wold Dyke Farm, Driffield, Driffield, North Humberside, YO25 9DD",YO25 9DD,SE9262049040,East Riding of Yorkshire,2007-08-28
EPR/XP3633UY,GILLILAND FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Jingling Gates Poultry Farm, Jingling Gates Poultry Farm - EPR/XP3633UY, Twizell Lane, West Pelton, County Durham, DH9 6SL",DH9 6SL,NZ2240052400,County Durham,2007-08-24
EPR/BP3037MF,SHEDDEN FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/yo30-1ap-environmental-permit-issued,"Shipton Grange, Shipton Grange Pig Unit - EPR/BP3037MF, Chapmans Lane, Shipton by Benningbrough, North Yorkshire, YO30 1AP",YO30 1AP,SE5436059710,North Yorkshire,2007-08-10
EPR/FP3236MW,WALLIS FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Treworgan Farm, Treworgan Poultry Farm - EPR/FP3236MW, Llangrove, Herefordshire, HR9 6HB",HR9 6HB,SO5103019560,"Herefordshire, County of",2007-07-27
EPR/NP3337MU,OAKTREE FARM,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Oaktree Poultry Farm, Oaktree Poultry Farm EPR/NP3337MU, Crawlboys Lane, Ludgershall, Hampshire, SP11 9PL",SP11 9PL,SU2781050780,Wiltshire,2007-07-27
EPR/JP3037MR,CHAPEL ASCOTE FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Welsh Way, Sunhill Pigs - EPR/JP3037MR, Poulton, Gloucestershire, GL7 5SY",GL7 5SY,SP0411002040,Cotswold,2007-07-25
EPR/HP3536MB,CROASE FARM PARTNERSHIP,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Croase Farm, Croase Poultry Farm - EPR/HP3536MB, Luston, Herefordshire, HR6 0BX",HR6 0BX,SO4787063550,"Herefordshire, County of",2007-07-20
EPR/CP3630UA,J.C LISTER FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Richmond Farm, Richmond Farm EPR/CP3630UA, Topcliffe Common, Topcliffe, North Yorkshire, YO7 3HW",YO7 3HW,SE4163077280,North Yorkshire,2007-07-20
EPR/BP3633UQ,C.E. DAVIDSON FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Fennings Poultry Unit, Fennings Farm Poultry Unit EPR/BP3633UQ, Fennings Farm, Pixey Green, Stradbroke, IP21 5NH",IP21 5NH,TM2480075850,Mid Suffolk,2007-07-20
EPR/PP3939UG,ERMINE FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"The Grange, Grayingham Grange Pig Unit - EPR/PP3939UG, Grayingham, GAINSBOROUGH, Lincolnshire, DN21 4JD",DN21 4JD,SK9536095790,West Lindsey,2007-07-18
EPR/PP3233UU,HOLMEFIELD FARM SERVICES LIMITED,Directly Associated Activity (Included)|Intensive Farming; >750 Sows -  6.9 A(1) a) (iii),,"Derrings Lane Pig Unit, Derrings Lane Pig Unit EPR/PP3233UU, Derrings Lane, Tholthorpe, York, North Yorkshire, YO61 1SU",YO61 1SU,SE4691076760,North Yorkshire,2007-07-13
EPR/DP3536MY,SHERWOOD FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Sherwood Farms Ltd, Kinoulton Grange Poultry Unit - EPR/DP3536MY, Hickling, Leicestershire, LE14 3AR",LE14 3AR,SK7020030170,Rushcliffe,2007-07-13
EPR/CP3930UP,UPHOUSE FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Uphouse Farm, Uphouse Farm - EPR/CP3930UP, Swaffham Road, Fakenham, NR21 7HW",NR21 7HW,TF8752023110,North Norfolk,2007-07-06
EPR/JP3431ME,DINSDALE FARMING LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/dl2-1pn-mr-ht-dent-and-mrs-sr-dent-trading-as-ht-sr-dent-environmental-permit-issued,"Manor Poultry Farm, Manor Farm - EPR/JP3431ME, Low Dinsdale, Neasham, Darlington, County Durham, DL2 1PN",DL2 1PN,NZ3451010720,Darlington,2007-07-06
EPR/RP3937MY,HOLMEFIELD FARM SERVICES LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Transformer Pig Unit, Transformer Pig Unit  EPR/RP3937MY/V002, Husthwaite, Easingwold, YO61 4PN",YO61 4PN,SE5054573704,North Yorkshire,2007-07-06
EPR/NP3432SL,WHITE ROSE FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/mk44-1yu-bedfordia-farms-limited-environmental-permit-issued,"Milton Parc, Twinwoods Pig Unit EPR/NP3432SL, Milton Ernest, Bedford, MK44 1YU",MK44 1YU,TL0166055790,Bedford,2006-03-31
EPR/BU2080IG,ANNAKIN FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"East Beck Farm, East Beck Farm EPR/BU2080IG, Stainton by Langworth, Lincolnshire, LN3 5BL",LN3 5BL,TF0672077980,West Lindsey,2004-02-12
